filename,frame_substrate_class,frame_relief_class,frame_substrate_n,frame_substrate_dominance_pct,dominant_broad_substrate,broad_substrate_dominance_pct,primary_modifier,primary_modifier_pct,secondary_modifier,secondary_modifier_pct,relief_primary_pct
2025_09_SA_FR01_003_0034.png,soft_silt,flat,59,86.4,soft,93.2,silt,86.4,,,100.0
2025_09_SA_FR01_003_0035.png,soft_silt,flat,74,73.0,soft,79.7,silt,73.0,,,100.0
2025_09_SA_FR01_003_0036.png,soft_silt,flat,64,93.8,soft,96.9,silt,93.8,,,100.0
2025_09_SA_FR01_003_0037.png,soft_silt,flat,53,81.1,soft,86.8,silt,81.1,,,100.0
2025_09_SA_FR01_003_0038.png,soft_silt,flat,51,88.2,soft,94.1,silt,88.2,,,100.0
2025_09_SA_FR01_003_0040.png,soft_silt,flat,60,98.3,soft,100.0,silt,98.3,,,100.0
2025_09_SA_FR01_003_0041.png,soft_silt,flat,44,93.2,soft,100.0,silt,93.2,,,100.0
2025_09_SA_FR01_003_0042.png,soft_silt,flat,64,93.8,soft,95.3,silt,93.8,,,100.0
2025_09_SA_FR01_003_0043.png,soft_silt,flat,65,89.2,soft,93.8,silt,89.2,,,100.0
2025_09_SA_FR01_003_0044.png,soft_silt,flat,55,80.0,soft,83.6,silt,80.0,,,100.0
2025_09_SA_FR01_003_0045.png,soft_silt,flat,53,90.6,soft,90.6,silt,90.6,,,100.0
2025_09_SA_FR01_003_0046.png,soft_silt,flat,45,91.1,soft,95.6,silt,91.1,,,100.0
2025_09_SA_FR01_003_0047.png,soft_silt,flat,52,90.4,soft,90.4,silt,90.4,,,100.0
2025_09_SA_FR01_003_0048.png,soft_silt,flat,58,87.9,soft,94.8,silt,87.9,,,100.0
2025_09_SA_FR01_004_0009.png,soft_silt,flat,84,97.6,soft,97.6,silt,97.6,,,100.0
2025_09_SA_FR01_004_0010.png,soft_silt,flat,64,89.1,soft,100.0,silt,89.1,,,100.0
2025_09_SA_FR01_004_0011.png,soft_silt,flat,80,90.0,soft,100.0,silt,90.0,,,100.0
2025_09_SA_FR01_004_0012.png,soft_silt,flat,73,93.2,soft,98.6,silt,93.2,,,100.0
2025_09_SA_FR01_004_0013.png,soft_silt,flat,72,93.1,soft,100.0,silt,93.1,,,100.0
2025_09_SA_FR01_004_0014.png,soft_silt,flat,83,97.6,soft,100.0,silt,97.6,,,100.0
2025_09_SA_FR01_004_0015.png,soft_silt,flat,88,83.0,soft,97.7,silt,83.0,,,100.0
2025_09_SA_FR01_004_0016.png,soft_silt,flat,85,91.8,soft,100.0,silt,91.8,,,100.0
2025_09_SA_FR01_004_0017.png,soft_silt,flat,71,88.7,soft,100.0,silt,88.7,,,100.0
2025_09_SA_FR01_004_0018.png,soft_silt,flat,94,85.1,soft,97.9,silt,85.1,,,100.0
2025_09_SA_FR01_004_0019.png,soft_silt,flat,69,95.7,soft,100.0,silt,95.7,,,100.0
2025_09_SA_FR01_004_0020.png,soft_silt,flat,73,83.6,soft,98.6,silt,83.6,,,100.0
2025_09_SA_FR01_004_0021.png,soft_silt,flat,71,91.5,soft,100.0,silt,91.5,,,100.0
2025_09_SA_FR01_004_0022.png,soft_silt,flat,70,91.4,soft,100.0,silt,91.4,,,100.0
2025_09_SA_FR01_004_0023.png,soft_silt,flat,76,97.4,soft,100.0,silt,97.4,,,100.0
2025_09_SA_FR01_004_0024.png,soft_silt,flat,76,92.1,soft,100.0,silt,92.1,,,100.0
2025_09_SA_FR01_004_0025.png,soft_silt,flat,70,88.6,soft,100.0,silt,88.6,,,100.0
2025_09_SA_FR01_004_0026.png,soft_silt,flat,61,96.7,soft,100.0,silt,96.7,,,100.0
2025_09_SA_FR01_004_0027.png,soft_silt,flat,69,85.5,soft,100.0,silt,85.5,,,100.0
2025_09_SA_FR01_004_0028.png,soft_silt,flat,75,92.0,soft,98.7,silt,92.0,,,100.0
2025_09_SA_FR01_004_0029.png,soft_silt,flat,67,89.6,soft,100.0,silt,89.6,,,100.0
2025_09_SA_FR01_004_0030.png,soft_silt,flat,82,93.9,soft,98.8,silt,93.9,,,100.0
2025_09_SA_FR01_004_0031.png,soft_silt,flat,54,87.0,soft,100.0,silt,87.0,,,100.0
2025_09_SA_FR01_004_0032.png,soft_silt,flat,82,96.3,soft,98.8,silt,96.3,,,100.0
2025_09_SA_FR01_004_0033.png,soft_silt,flat,86,100.0,soft,100.0,silt,100.0,,,100.0
2025_09_SA_FR01_004_0036.png,soft_silt,flat,62,91.9,soft,100.0,silt,91.9,,,100.0
2025_09_SA_FR01_004_0037.png,soft_silt,flat,46,97.8,soft,100.0,silt,97.8,,,100.0
2025_09_SA_FR01_004_0038.png,soft_silt,flat,79,92.4,soft,100.0,silt,92.4,,,100.0
2025_09_SA_FR01_004_0039.png,soft_silt,flat,93,92.5,soft,100.0,silt,92.5,,,100.0
2025_09_SA_FR01_004_0040.png,soft_silt,flat,81,86.4,soft,98.8,silt,86.4,,,100.0
2025_09_SA_FR01_004_0041.png,soft_silt,flat,89,97.8,soft,100.0,silt,97.8,,,100.0
2025_09_SA_FR01_004_0042.png,soft_silt,flat,75,82.7,soft,100.0,silt,82.7,,,100.0
2025_09_SA_FR01_004_0043.png,soft_silt,flat,72,94.4,soft,98.6,silt,94.4,,,100.0
2025_09_SA_FR01_004_0044.png,soft_silt,flat,75,81.3,soft,100.0,silt,81.3,,,100.0
2025_09_SA_FR01_004_0045.png,soft_silt,flat,81,92.6,soft,100.0,silt,92.6,,,100.0
2025_09_SA_FR01_004_0046.png,soft_silt,flat,69,88.4,soft,98.6,silt,88.4,,,100.0
2025_09_SA_FR01_004_0047.png,soft_silt,flat,88,92.0,soft,97.7,silt,92.0,,,100.0
2025_09_SA_FR01_004_0048.png,soft_silt,flat,78,94.9,soft,98.7,silt,94.9,,,100.0
2025_09_SA_FR01_004_0049.png,soft_silt,flat,50,92.0,soft,98.0,silt,92.0,,,100.0
2025_09_SA_FR01_004_0050.png,soft_silt,flat,63,95.2,soft,100.0,silt,95.2,,,100.0
2025_09_SA_FR01_004_0051.png,soft_silt,flat,48,87.5,soft,97.9,silt,87.5,,,100.0
2025_09_SA_FR01_004_0052.png,soft_silt,flat,48,97.9,soft,100.0,silt,97.9,,,100.0
2025_09_SA_FR01_004_0053.png,soft_silt,flat,68,92.6,soft,98.5,silt,92.6,,,100.0
2025_09_SA_FR01_004_0054.png,soft_silt,flat,54,92.6,soft,96.3,silt,92.6,,,100.0
2025_09_SA_FR01_004_0055.png,soft_silt,flat,60,100.0,soft,100.0,silt,100.0,,,100.0
2025_09_SA_FR01_004_0056.png,soft_silt,flat,60,95.0,soft,100.0,silt,95.0,,,100.0
2025_09_SA_FR01_004_0057.png,soft_silt,flat,71,93.0,soft,98.6,silt,93.0,,,100.0
2025_09_SA_FR01_004_0058.png,soft_silt,flat,73,97.3,soft,100.0,silt,97.3,,,100.0
2025_09_SA_FR01_004_0059.png,soft_silt,flat,75,92.0,soft,93.3,silt,92.0,,,100.0
2025_09_SA_FR01_004_0060.png,soft_silt,flat,73,94.5,soft,100.0,silt,94.5,,,100.0
2025_09_SA_FR01_004_0061.png,soft_silt,flat,85,98.8,soft,98.8,silt,98.8,,,100.0
2025_09_SA_FR01_004_0062.png,soft_silt,flat,80,93.8,soft,98.8,silt,93.8,,,100.0
2025_09_SA_FR01_004_0063.png,soft_silt,flat,83,95.2,soft,100.0,silt,95.2,,,100.0
2025_09_SA_FR01_004_0064.png,soft_silt,flat,66,93.9,soft,98.5,silt,93.9,,,100.0
2025_09_SA_FR01_004_0065.png,soft_silt,flat,41,97.6,soft,100.0,silt,97.6,,,100.0
2025_09_SA_FR01_004_0066.png,soft_silt,flat,49,95.9,soft,100.0,silt,95.9,,,100.0
2025_09_SA_FR01_005_0007.png,hard_pebble_silt,flat,33,42.4,hard,66.7,pebble,42.4,silt,33.3,100.0
2025_09_SA_FR01_005_0008.png,hard_silt_shelldead,flat,24,29.2,hard,70.8,silt,29.2,shelldead,20.8,100.0
2025_09_SA_FR01_005_0009.png,hard_soft_silt_pebble,flat,46,50.0,hard | soft,50.0,silt,50.0,pebble,37.0,100.0
2025_09_SA_FR01_005_0010.png,soft_silt_pebble,flat,33,57.6,soft,57.6,silt,57.6,pebble,27.3,100.0
2025_09_SA_FR01_005_0011.png,hard_pebble_silt,flat,19,42.1,hard,63.2,pebble,42.1,silt,36.8,100.0
2025_09_SA_FR01_005_0012.png,hard_pebble_shelldead,flat,26,26.9,hard,84.6,pebble,26.9,shelldead,23.1,100.0
2025_09_SA_FR01_005_0013.png,hard_pebble_sand,flat,27,33.3,hard,66.7,pebble,33.3,sand,22.2,100.0
2025_09_SA_FR01_005_0014.png,hard_boulder_pebble,flat,13,38.5,hard,100.0,boulder,38.5,pebble,38.5,100.0
2025_09_SA_FR01_005_0015.png,hard_pebble_boulder,flat,31,32.3,hard,74.2,pebble,32.3,boulder,25.8,100.0
2025_09_SA_FR01_005_0016.png,hard_sand_shelldead,flat,15,40.0,hard,53.3,sand,40.0,shelldead,33.3,100.0
2025_09_SA_FR01_005_0017.png,soft_silt,flat,39,51.3,soft,51.3,silt,51.3,,,100.0
2025_09_SA_FR01_005_0018.png,soft_sand,flat,39,53.8,soft,66.7,sand,53.8,,,100.0
2025_09_SA_FR01_005_0020.png,hard_pebble_boulder,flat,24,29.2,hard,70.8,pebble,29.2,boulder,25.0,100.0
2025_09_SA_FR01_005_0021.png,hard_pebble_shelldead,flat,35,40.0,hard,82.9,pebble,40.0,shelldead,22.9,100.0
2025_09_SA_FR01_005_0022.png,hard_pebble,flat,22,40.9,hard,72.7,pebble,40.9,,,100.0
2025_09_SA_FR01_005_0023.png,hard_pebble_shelldead,flat,21,42.9,hard,81.0,pebble,42.9,shelldead,28.6,100.0
2025_09_SA_FR01_006_0003.png,hard_pebble_cobble,flat,35,60.0,hard,100.0,pebble,60.0,cobble,34.3,100.0
2025_09_SA_FR01_006_0004.png,hard_shelldead_cobble,flat,18,38.9,hard,94.4,shelldead,38.9,cobble,33.3,100.0
2025_09_SA_FR01_006_0005.png,hard_cobble_pebble,flat,38,52.6,hard,97.4,cobble,52.6,pebble,23.7,100.0
2025_09_SA_FR01_006_0006.png,hard_cobble_shelldead,flat,9,55.6,hard,100.0,cobble,55.6,shelldead,33.3,100.0
2025_09_SA_FR01_006_0007.png,hard_cobble_shelldead,flat,10,50.0,hard,100.0,cobble,50.0,shelldead,50.0,100.0
2025_09_SA_FR01_006_0008.png,hard_cobble_shelldead,flat,12,66.7,hard,100.0,cobble,66.7,shelldead,33.3,100.0
2025_09_SA_FR01_006_0009.png,hard_shelldead,flat,8,87.5,hard,100.0,shelldead,87.5,,,100.0
2025_09_SA_FR01_006_0010.png,hard_cobble,flat,11,72.7,hard,90.9,cobble,72.7,,,100.0
2025_09_SA_FR01_006_0011.png,,,0,,,,,,,,
2025_09_SA_FR01_006_0012.png,hard_cobble_shelldead,flat,12,58.3,hard,100.0,cobble,58.3,shelldead,25.0,100.0
2025_09_SA_FR01_006_0013.png,hard_cobble_shelldead,flat,3,66.7,hard,100.0,cobble,66.7,shelldead,33.3,100.0
2025_09_SA_FR01_006_0014.png,hard_cobble_shelldead,flat,5,80.0,hard,100.0,cobble,80.0,shelldead,20.0,100.0
2025_09_SA_FR01_006_0015.png,hard_shelldead_pebble,flat,29,72.4,hard,100.0,shelldead,72.4,pebble,20.7,100.0
2025_09_SA_FR01_006_0016.png,hard_cobble_shelldead,flat,7,42.9,hard,85.7,cobble,42.9,shelldead,42.9,100.0
2025_09_SA_FR01_006_0017.png,hard_shelldead,flat,2,100.0,hard,100.0,shelldead,100.0,,,100.0
2025_09_SA_FR01_006_0018.png,hard_cobble,flat,7,100.0,hard,100.0,cobble,100.0,,,100.0
2025_09_SA_FR01_007_0008.png,soft_silt,flat,64,85.9,soft,93.8,silt,85.9,,,100.0
2025_09_SA_FR01_007_0009.png,soft_silt,flat,55,81.8,soft,96.4,silt,81.8,,,100.0
2025_09_SA_FR01_007_0010.png,soft_silt,flat,64,84.4,soft,96.9,silt,84.4,,,100.0
2025_09_SA_FR01_007_0011.png,soft_silt,flat,73,90.4,soft,97.3,silt,90.4,,,100.0
2025_09_SA_FR01_007_0012.png,soft_silt_bioturbation,flat,81,67.9,soft,92.6,silt,67.9,bioturbation,24.7,100.0
2025_09_SA_FR01_007_0013.png,soft_silt,flat,71,84.5,soft,98.6,silt,84.5,,,100.0
2025_09_SA_FR01_007_0014.png,soft_silt,flat,82,81.7,soft,100.0,silt,81.7,,,100.0
2025_09_SA_FR01_007_0015.png,soft_silt,flat,61,82.0,soft,91.8,silt,82.0,,,100.0
2025_09_SA_FR01_007_0016.png,soft_silt,flat,39,97.4,soft,100.0,silt,97.4,,,100.0
2025_09_SA_FR01_007_0017.png,soft_silt,flat,62,98.4,soft,100.0,silt,98.4,,,100.0
2025_09_SA_FR01_007_0018.png,soft_silt,flat,71,78.9,soft,90.1,silt,78.9,,,100.0
2025_09_SA_FR01_007_0019.png,soft_silt,flat,77,87.0,soft,93.5,silt,87.0,,,100.0
2025_09_SA_FR01_007_0020.png,soft_silt,flat,66,81.8,soft,84.8,silt,81.8,,,100.0
2025_09_SA_FR01_007_0021.png,soft_silt,flat,73,87.7,soft,97.3,silt,87.7,,,100.0
2025_09_SA_FR01_007_0024.png,soft_silt,flat,79,88.6,soft,98.7,silt,88.6,,,100.0
2025_09_SA_FR01_007_0025.png,soft_silt,flat,61,82.0,soft,96.7,silt,82.0,,,100.0
2025_09_SA_FR01_007_0026.png,soft_silt,flat,76,89.5,soft,94.7,silt,89.5,,,100.0
2025_09_SA_FR01_007_0027.png,soft_silt,flat,73,80.8,soft,98.6,silt,80.8,,,100.0
2025_09_SA_FR01_007_0028.png,soft_silt,flat,61,85.2,soft,96.7,silt,85.2,,,100.0
2025_09_SA_FR01_007_0029.png,soft_silt_bioturbation,flat,63,69.8,soft,92.1,silt,69.8,bioturbation,22.2,100.0
2025_09_SA_FR01_007_0030.png,soft_silt,flat,61,80.3,soft,96.7,silt,80.3,,,100.0
2025_09_SA_FR01_007_0031.png,soft_silt,flat,64,82.8,soft,92.2,silt,82.8,,,100.0
2025_09_SA_FR01_007_0032.png,soft_silt,flat,69,82.6,soft,97.1,silt,82.6,,,100.0
2025_09_SA_FR01_007_0033.png,soft_silt,flat,87,83.9,soft,100.0,silt,83.9,,,100.0
2025_09_SA_FR01_007_0034.png,soft_silt,flat,32,93.8,soft,96.9,silt,93.8,,,100.0
2025_09_SA_FR01_007_0035.png,soft_silt,flat,80,82.5,soft,97.5,silt,82.5,,,100.0
2025_09_SA_FR01_007_0036.png,soft_silt,flat,33,84.8,soft,93.9,silt,84.8,,,100.0
2025_09_SA_FR01_007_0037.png,soft_silt,flat,63,92.1,soft,98.4,silt,92.1,,,100.0
2025_09_SA_FR01_007_0038.png,soft_silt,flat,58,84.5,soft,98.3,silt,84.5,,,100.0
2025_09_SA_FR01_009_0014.png,soft_silt,flat,96,94.8,soft,100.0,silt,94.8,,,100.0
2025_09_SA_FR01_009_0015.png,soft_silt,flat,93,88.2,soft,100.0,silt,88.2,,,100.0
2025_09_SA_FR01_009_0016.png,soft_silt,flat,91,91.2,soft,100.0,silt,91.2,,,100.0
2025_09_SA_FR01_009_0017.png,soft_silt,flat,84,83.3,soft,100.0,silt,83.3,,,100.0
2025_09_SA_FR01_009_0018.png,soft_silt,flat,67,86.6,soft,100.0,silt,86.6,,,100.0
2025_09_SA_FR01_009_0019.png,soft_silt,flat,80,82.5,soft,100.0,silt,82.5,,,100.0
2025_09_SA_FR01_009_0020.png,soft_silt_bioturbation,flat,66,68.2,soft,100.0,silt,68.2,bioturbation,31.8,100.0
2025_09_SA_FR01_009_0021.png,soft_silt,flat,69,85.5,soft,100.0,silt,85.5,,,100.0
2025_09_SA_FR01_009_0022.png,soft_silt,flat,89,84.3,soft,100.0,silt,84.3,,,100.0
2025_09_SA_FR01_009_0023.png,soft_silt,flat,77,87.0,soft,100.0,silt,87.0,,,100.0
2025_09_SA_FR01_009_0024.png,soft_silt_bioturbation,flat,93,77.4,soft,100.0,silt,77.4,bioturbation,22.6,100.0
2025_09_SA_FR01_009_0025.png,soft_silt,flat,82,84.1,soft,100.0,silt,84.1,,,100.0
2025_09_SA_FR01_009_0026.png,soft_silt_bioturbation,flat,77,71.4,soft,100.0,silt,71.4,bioturbation,28.6,100.0
2025_09_SA_FR01_009_0027.png,soft_bioturbation_silt,flat,72,52.8,soft,100.0,bioturbation,52.8,silt,47.2,100.0
2025_09_SA_FR01_009_0028.png,soft_silt_bioturbation,flat,71,69.0,soft,100.0,silt,69.0,bioturbation,31.0,100.0
2025_09_SA_FR01_009_0029.png,soft_silt,flat,55,89.1,soft,100.0,silt,89.1,,,100.0
2025_09_SA_FR01_009_0030.png,soft_bioturbation_silt,flat,58,53.4,soft,100.0,bioturbation,53.4,silt,46.6,100.0
2025_09_SA_FR01_009_0031.png,soft_silt_bioturbation,flat,87,56.3,soft,100.0,silt,56.3,bioturbation,43.7,100.0
2025_09_SA_FR01_009_0032.png,soft_silt,flat,43,81.4,soft,100.0,silt,81.4,,,100.0
2025_09_SA_FR01_009_0033.png,soft_silt_bioturbation,flat,56,76.8,soft,100.0,silt,76.8,bioturbation,23.2,100.0
2025_09_SA_FR01_009_0034.png,soft_silt,flat,34,97.1,soft,100.0,silt,97.1,,,100.0
2025_09_SA_FR01_009_0035.png,soft_silt_bioturbation,flat,71,76.1,soft,100.0,silt,76.1,bioturbation,23.9,100.0
2025_09_SA_FR01_009_0036.png,soft_silt_bioturbation,flat,65,73.8,soft,100.0,silt,73.8,bioturbation,26.2,100.0
2025_09_SA_FR01_009_0037.png,soft_silt_bioturbation,flat,74,62.2,soft,100.0,silt,62.2,bioturbation,37.8,100.0
2025_09_SA_FR01_009_0038.png,soft_silt_bioturbation,flat,76,59.2,soft,100.0,silt,59.2,bioturbation,40.8,100.0
2025_09_SA_FR01_009_0039.png,soft_silt_bioturbation,flat,84,52.4,soft,100.0,silt,52.4,bioturbation,47.6,100.0
