Layer_01,Layer_02,Layer_03,Layer_04,Layer_05,cpc_codes,kingdom,phylum,class,order,family,taxonomic_resolution,morphology,common_id_short,common_id_mid,common_id_full,,,,
Coral,Cnidaria,Antipatharia (Black corals),Fan black coral,,CBF,Animalia,Cnidaria,Hexacorallia,Antipatharia,,O,fan2D,Coral,Coral_black,Coral_black_fan2D,,,,
Coral,Cnidaria,Antipatharia (Black corals),Whip black coral,,CBW,Animalia,Cnidaria,Hexacorallia,Antipatharia,,O,whip,Coral,Coral_black,Coral_black_whip,,,,
Coral,Cnidaria,Scleractinia (Stony corals),,,CS,Animalia,Cnidaria,Hexacorallia,Scleractinia,,O,,Coral,Coral_stony,Coral_stony,,,,
Coral,Cnidaria,Scleractinia (Stony corals),Solitary stony coral,,CSSO,Animalia,Cnidaria,Hexacorallia,Scleractinia,,O,solitary,Coral,Coral_stony,Coral_stony_solitary,,,,
Coral,Cnidaria,Scleractinia (Stony corals),Cup coral,,CSSOM,Animalia,Cnidaria,Hexacorallia,Scleractinia,Fungiidae,F,solitary_cup_mushroom_fungiidae,Coral,Coral_stony,Coral_stony_solitary_mushroom_fungiidae,,,,
Coral,Cnidaria,Scleractinia (Stony corals),Massive stony coral,,CSM,Animalia,Cnidaria,Hexacorallia,Scleractinia,,O,massive,Coral,Coral_stony,Coral_stony_massive,,,,
Coral,Cnidaria,Scleractinia (Stony corals),Branching stony coral,,CSBR,Animalia,Cnidaria,Hexacorallia,Scleractinia,,O,branching,Coral,Coral_stony,Coral_stony_branching,,,,
Coral,Cnidaria,Scleractinia (Stony corals),Reef-forming stony coral,,CSD,Animalia,Cnidaria,Hexacorallia,Scleractinia,,O,digitate_reefforming,Coral,Coral_stony,Coral_stony_digitate,,,,
Coral,Cnidaria,Actiniaria (Anemone),,,CNA,Animalia,Cnidaria,Hexacorallia,,,C,,Anemone,Anemone,Anemone,,,,
Coral,Cnidaria,Actiniaria (Anemone),Large anemone field,,,,,,,,,,,,,,,,
Coral,Cnidaria,Actiniaria (Anemone),Colonial anemone aggregation,,CNCA,Animalia,Cnidaria,Hexacorallia,,,C,colonial,Anemone,Anemone_colonial,Anemone_colonial,,,,
Coral,Cnidaria,Ceriantharia (Tube anemone),,,CNTU,Animalia,Cnidaria,Hexacorallia,Ceriantharia,,O,tube,Anemone,Anemone_tube,Anemone_tube,,,,
Coral,Cnidaria,Ceriantharia (Tube anemone),Tube anemone aggregation,,CNTU,Animalia,Cnidaria,Hexacorallia,Ceriantharia,,O,tube_aggregation,Anemone,Anemone_tube_aggregation,Anemone_tube,,,,
Hydroids,Hydrozoa,,,,CNHYC,Animalia,Cnidaria,Hydrozoa,Anthoathecata,,O,,Coral,Coral_hydrocoral,Coral_hydrocoral,,,,
Bryozoans,Bryozoa,Branching bryozoan,,,CNHYCB,Animalia,Cnidaria,Hydrozoa,Anthoathecata,,O,branching,Coral,Coral_hydrocoral,Coral_hydrocoral_branching,,,,
Bryozoans,Bryozoa,Fenestrate bryozoan,,,BRYHF,Animalia,Bryozoa,,,,P,hard_fenestrate,Bryozoan,Bryozoan_hard,Bryozoan_hard_fenestrate,,,,
Bryozoans,Bryozoa,Massive bryozoan colony,,,BRYHM,Animalia,Bryozoa,,,,P,hard_massive_colony,Bryozoan,Bryozoan_hard,Bryozoan_hard_massive,,,,
Bryozoans,Bryozoa,Encrusting bryozoan mat,,,BRYHE,Animalia,Bryozoa,,,,P,hard_encrusting,Bryozoan,Bryozoan_hard,Bryozoan_hard_encrusting,,,,
Bryozoans,Bryozoa,Soft bryozoan colony,,,BRYS,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,,O,soft_colony,Bryozoan,Bryozoan_soft,Bryozoan_soft,,,,
Bryozoans,Bryozoa,Dendroid bryozoan,,,BRYSD,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,,O,soft_dendroid,Bryozoan,Bryozoan_soft,Bryozoan_soft_dendroid,,,,
Tunicates (Habitat-forming aggregations),Tunicata,Ascidiacea,,,A,Animalia,Chordata,Ascidiacea,,,C,,Tunicate,Tunicate_ascidian,Tunicate_ascidian,,,,
Tunicates (Habitat-forming aggregations),Tunicata,Colonial ascidian mat,,,AUC,Animalia,Chordata,Ascidiacea,,,C,unstalked_colonial,Tunicate,Tunicate_ascidian,Tunicate_ascidian_unstalked_colonial,,,,
Tunicates (Habitat-forming aggregations),Tunicata,Dense solitary ascidian aggregation,,,A,Animalia,Chordata,Ascidiacea,,,C,solitary_aggregration,Tunicate,Tunicate_ascidian,Tunicate_ascidian,,,,
Tunicates (Habitat-forming aggregations),Tunicata,Stalked ascidian aggregation,,,ASS,Animalia,Chordata,Ascidiacea,,,C,stalked_solitary_aggregation,Tunicate,Tunicate_ascidian,Tunicate_ascidian_stalked_solitary_aggregation,,,,NOT USE if I want to add aggregation to the end of leave off …
Echinoderms (Habitat-forming aggregations),Echinodermata,Crinoidea,Stalked crinoid field,,EFS,Animalia,Echinodermata,Crinoidea,,,C,stalked,Echinoderm,Echinoderm_crinoid,Echinoderm_crinoid_stalked,,,,
Echinoderms (Habitat-forming aggregations),Echinodermata,Crinoidea,Unstalked crinoid field,,AU,Animalia,Chordata,Ascidiacea,,,C,unstalked,Tunicate,Tunicate_ascidian,Tunicate_ascidian_unstalked,,,,
