filename,dive_id,n_points,n_biotic,n_abiotic,n_exclude,n_unsure,n_conflict,n_other,n_biotic_assigned,n_biotic_unassigned,lat,long,depth_m,depth_m_raw,temperature,frame_substrate_class,frame_relief_class,target_points,difference_from_target,point_count_qc,n_valid,pct_biotic_all,pct_abiotic_all,pct_exclude_all,pct_unsure_all,pct_biotic_valid,pct_abiotic_valid,pct_biotic_units_resolved
2025_09_SA_FR01_002_v2_0043.png,2025-09-sa-fr01-002,99,23,68,5,3,0,0,23,0,72.9571,-24.81585,44.138157,-44.138157,-2.2,soft_silt,flat,100,-1,REVIEW,91,23.232323232323232,68.68686868686869,5.05050505050505,3.0303030303030303,25.274725274725274,74.72527472527473,100
2025_09_SA_FR01_002_v2_0044.png,2025-09-sa-fr01-002,100,37,57,4,2,0,0,37,0,72.9571,-24.81585,44.211456,-44.211456,-2.2,soft_silt,flat,100,0,PASS,94,37,57,4,2,39.361702127659576,60.638297872340424,100
2025_09_SA_FR01_002_v2_0045.png,2025-09-sa-fr01-002,100,33,56,9,2,0,0,33,0,72.9571,-24.81585,44.164928,-44.164928,-2.2,soft_silt,flat,100,0,PASS,89,33,56,9,2,37.07865168539326,62.92134831460674,100
2025_09_SA_FR01_002_v2_0046.png,2025-09-sa-fr01-002,100,54,45,1,0,0,0,54,0,72.9571,-24.81585,44.317806,-44.317806,-2.2,soft_silt,flat,100,0,PASS,99,54,45,1,0,54.54545454545455,45.45454545454545,100
2025_09_SA_FR01_002_v2_0047.png,2025-09-sa-fr01-002,100,35,61,4,0,0,0,35,0,72.9571,-24.81585,44.531303,-44.531303,-2.2,soft_silt,flat,100,0,PASS,96,35,61,4,0,36.458333333333336,63.541666666666664,100
2025_09_SA_FR01_002_v2_0048.png,2025-09-sa-fr01-002,100,32,67,1,0,0,0,32,0,72.9571,-24.81585,45.507336,-45.507336,-2.2,soft_silt,flat,100,0,PASS,99,32,67,1,0,32.323232323232325,67.67676767676768,100
2025_09_SA_FR01_002_v2_0049.png,2025-09-sa-fr01-002,100,34,40,26,0,0,0,34,0,72.9571,-24.81585,47.295506,-47.295506,-2.2,soft_silt,flat,100,0,PASS,74,34,40,26,0,45.945945945945944,54.054054054054056,100
2025_09_SA_FR01_002_v2_0051.png,2025-09-sa-fr01-002,99,14,79,6,0,0,0,14,0,72.9571,-24.81585,46.680779,-46.680779,-2.2,soft_silt,flat,100,-1,REVIEW,93,14.141414141414142,79.79797979797979,6.0606060606060606,0,15.053763440860216,84.94623655913979,100
2025_09_SA_FR01_002_v2_0052.png,2025-09-sa-fr01-002,100,23,74,3,0,0,0,23,0,72.9571,-24.81585,45.782619,-45.782619,-2.2,soft_silt,flat,100,0,PASS,97,23,74,3,0,23.711340206185568,76.28865979381443,100
2025_09_SA_FR01_002_v2_0053.png,2025-09-sa-fr01-002,100,14,52,34,0,0,0,14,0,72.9571,-24.81585,45.01849,-45.01849,-2.2,soft_silt,flat,100,0,PASS,66,14,52,34,0,21.21212121212121,78.78787878787878,100
2025_09_SA_FR01_002_v2_0054.png,2025-09-sa-fr01-002,100,35,58,7,0,0,0,35,0,72.9571,-24.81585,46.03212,-46.03212,-2.09,soft_silt,flat,100,0,PASS,93,35,58,7,0,37.634408602150536,62.365591397849464,100
2025_09_SA_FR01_002_v2_0058.png,2025-09-sa-fr01-002,100,25,67,7,1,0,0,25,0,72.9571,-24.81585,48.403599,-48.403599,-2.09,hard_shelldead_pebble,flat,100,0,PASS,92,25,67,7,1,27.17391304347826,72.82608695652173,100
2025_09_SA_FR01_002_v2_0059.png,2025-09-sa-fr01-002,100,39,59,2,0,0,0,39,0,72.9571,-24.81585,48.250244,-48.250244,-2.09,hard_shelldead_silt,flat,100,0,PASS,98,39,59,2,0,39.795918367346935,60.204081632653065,100
2025_09_SA_FR01_002_v2_0060.png,2025-09-sa-fr01-002,100,58,42,0,0,0,0,58,0,72.9571,-24.81585,48.144592,-48.144592,-2.09,soft_silt,flat,100,0,PASS,100,58,42,0,0,58,42,100
2025_09_SA_FR01_002_v2_0061.png,2025-09-sa-fr01-002,100,24,75,1,0,0,0,24,0,72.9571,-24.81585,45.4958,-45.4958,-2.2,soft_silt,flat,100,0,PASS,99,24,75,1,0,24.242424242424242,75.75757575757575,100
